,,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
214,Jack Harrison,eng ENG,FWMF,Leeds United,26-146,1996,28,26,2097,23.3,4,6,10,4,0,0,2,0,4.2,4.2,3.5,7.7,85,82,209,0.17,0.26,0.43,0.17,0.43,0.18,0.15,0.33,0.18,0.33,Matches,aa849a12
215,Kai Havertz,de GER,FWMF,Chelsea,23-308,1999,29,26,2218,24.6,7,1,8,6,1,1,4,0,10.4,9.6,3.4,13.0,50,73,190,0.28,0.04,0.32,0.24,0.28,0.42,0.14,0.56,0.39,0.53,Matches,fed7cb61
216,Jan Paul van Hecke,nl NED,DF,Brighton,22-311,2000,3,1,83,0.9,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.6,3,10,0,0.00,0.00,0.00,0.00,0.00,0.64,0.00,0.64,0.64,0.64,Matches,4fd08daa
217,Hwang Hee-chan,kr KOR,FW,Wolves,27-079,1996,19,9,740,8.2,1,1,2,1,0,0,1,0,1.2,1.2,1.0,2.3,17,21,40,0.12,0.12,0.24,0.12,0.24,0.15,0.12,0.28,0.15,0.28,Matches,169fd162
218,Dean Henderson,eng ENG,GK,Nott'ham Forest,26-034,1997,18,18,1620,18.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,e5a76dfe
219,Jordan Henderson,eng ENG,MF,Liverpool,32-302,1990,26,17,1531,17.0,0,1,1,0,0,0,2,0,1.1,1.1,1.5,2.6,25,140,45,0.00,0.06,0.06,0.00,0.06,0.06,0.09,0.15,0.06,0.15,Matches,935e6b8f
220,Wayne Hennessey,wls WAL,GK,Nott'ham Forest,36-081,1987,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,76eca7e2
221,Rico Henry,eng ENG,DF,Brentford,25-281,1997,29,29,2586,28.7,0,2,2,0,0,0,0,0,1.4,1.4,2.4,3.9,37,87,93,0.00,0.07,0.07,0.00,0.07,0.05,0.08,0.13,0.05,0.13,Matches,8a3c1dc7
222,Son Heung-min,kr KOR,MFFW,Tottenham,30-281,1992,28,25,2197,24.4,7,4,11,7,0,0,1,0,6.6,6.6,4.7,11.3,67,63,157,0.29,0.16,0.45,0.29,0.45,0.27,0.19,0.46,0.27,0.46,Matches,92e7e919
223,Aaron Hickey,sct SCO,DF,Brentford,20-309,2002,18,16,1334,14.8,0,0,0,0,0,0,6,0,0.2,0.2,0.2,0.4,28,55,34,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches,1780bb4a
224,Joseph Hodge,ie IRL,MF,Wolves,20-213,2002,5,1,169,1.9,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,1,7,4,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.09,0.06,0.09,Matches,bd8a5d95
225,Rob Holding,eng ENG,DF,Arsenal,27-207,1995,10,3,290,3.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,12,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,d79a8c87
226,Mason Holgate,eng ENG,DFMF,Everton,26-175,1996,5,3,365,4.1,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,4,10,2,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.14,0.07,0.14,Matches,d0042ab9
227,Will Hughes,eng ENG,MF,Crystal Palace,27-363,1995,20,3,445,4.9,0,1,1,0,0,0,4,0,0.2,0.2,0.7,0.9,6,18,10,0.00,0.20,0.20,0.00,0.20,0.04,0.14,0.18,0.04,0.18,Matches,a0666d3e
228,Omari Hutchinson,eng ENG,FW,Chelsea,19-167,2003,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,bd9553e6
229,Pierre Højbjerg,dk DEN,MF,Tottenham,27-253,1995,29,29,2591,28.8,4,4,8,4,0,0,4,0,1.7,1.7,2.5,4.2,37,206,62,0.14,0.14,0.28,0.14,0.28,0.06,0.09,0.14,0.06,0.14,Matches,8b04d6c1
230,Kelechi Iheanacho,ng NGA,FWMF,Leicester City,26-194,1996,23,7,796,8.8,3,4,7,3,0,0,0,0,4.5,4.5,3.0,7.5,24,19,75,0.34,0.45,0.79,0.34,0.79,0.51,0.33,0.84,0.51,0.84,Matches,c92e1a31
231,Danny Ings,eng ENG,FW,West Ham,30-266,1992,10,5,482,5.4,2,0,2,2,0,0,0,0,2.2,2.2,0.2,2.4,6,6,21,0.37,0.00,0.37,0.37,0.37,0.41,0.04,0.45,0.41,0.45,Matches,07802f7f
232,Danny Ings,eng ENG,FW,Aston Villa,30-266,1992,18,8,824,9.2,6,0,6,4,2,2,3,0,5.3,3.8,1.2,5.0,15,12,46,0.66,0.00,0.66,0.44,0.44,0.59,0.13,0.71,0.41,0.54,Matches,07802f7f
233,Alexander Isak,se SWE,FW,Newcastle Utd,23-206,1999,13,9,815,9.1,8,0,8,6,2,2,2,0,6.4,4.8,0.9,5.7,16,18,63,0.88,0.00,0.88,0.66,0.66,0.70,0.10,0.80,0.53,0.63,Matches,8e92be30
234,Daniel Iversen,dk DEN,GK,Leicester City,25-270,1997,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,10d221cd
235,Alex Iwobi,ng NGA,MFFW,Everton,26-347,1996,30,30,2658,29.5,1,6,7,1,0,0,2,0,1.9,1.9,4.2,6.1,61,149,108,0.03,0.20,0.24,0.03,0.24,0.07,0.14,0.21,0.07,0.21,Matches,6ca5ec4b
236,Daniel James,wls WAL,FW,Leeds United,25-156,1997,4,2,198,2.2,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,6,3,9,0.00,0.00,0.00,0.00,0.00,0.12,0.15,0.27,0.12,0.27,Matches,c931d9f9
237,Daniel James,wls WAL,FW,Fulham,25-156,1997,15,3,404,4.5,1,0,1,1,0,0,0,0,1.4,1.4,0.3,1.7,15,13,30,0.22,0.00,0.22,0.22,0.22,0.32,0.07,0.39,0.32,0.39,Matches,c931d9f9
238,Reece James,eng ENG,DFMF,Chelsea,23-128,1999,15,14,1210,13.4,1,1,2,1,0,0,4,0,1.0,1.0,3.0,4.0,50,89,113,0.07,0.07,0.15,0.07,0.15,0.08,0.22,0.30,0.08,0.30,Matches,1265a93a
239,Vitaly Janelt,de GER,MFDF,Brentford,24-340,1998,27,17,1593,17.7,3,1,4,3,0,0,1,0,2.2,2.2,1.1,3.2,12,62,22,0.17,0.06,0.23,0.17,0.23,0.12,0.06,0.18,0.12,0.18,Matches,8449d35e
240,Pontus Jansson,se SWE,DF,Brentford,32-061,1991,12,9,724,8.0,1,0,1,1,0,0,0,0,0.3,0.3,0.0,0.3,1,14,0,0.12,0.00,0.12,0.12,0.12,0.04,0.00,0.04,0.04,0.04,Matches,172e52d8
241,Mathias Jensen,dk DEN,MF,Brentford,27-104,1996,30,30,2302,25.6,5,5,10,5,0,0,3,0,2.0,2.0,3.5,5.4,21,110,63,0.20,0.20,0.39,0.20,0.39,0.08,0.13,0.21,0.08,0.21,Matches,0f134faf
242,Gabriel Jesus,br BRA,FW,Arsenal,26-012,1997,18,16,1397,15.5,8,5,13,7,1,1,4,0,11.0,10.2,2.9,13.1,31,42,132,0.52,0.32,0.84,0.45,0.77,0.71,0.19,0.89,0.65,0.84,Matches,b66315ae
243,Raúl Jiménez,mx MEX,FW,Wolves,31-345,1991,13,7,743,8.3,0,1,1,0,0,0,0,0,2.6,2.6,1.7,4.3,5,13,44,0.00,0.12,0.12,0.00,0.12,0.31,0.21,0.52,0.31,0.52,Matches,b561db50
244,Joelinton,br BRA,MFFW,Newcastle Utd,26-244,1996,25,23,2053,22.8,4,1,5,4,0,0,11,0,5.1,5.1,1.9,6.9,46,97,118,0.18,0.04,0.22,0.18,0.22,0.22,0.08,0.30,0.22,0.30,Matches,c17bfb65
245,Ben Johnson,eng ENG,DF,West Ham,23-081,2000,13,8,744,8.3,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.3,12,36,17,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches,9319781b
246,Brennan Johnson,wls WAL,FWMF,Nott'ham Forest,21-327,2001,30,28,2487,27.6,8,2,10,7,1,2,6,0,7.3,5.7,2.9,8.6,80,30,140,0.29,0.07,0.36,0.25,0.33,0.26,0.10,0.37,0.21,0.31,Matches,0cd31129
247,Sam Johnstone,eng ENG,GK,Crystal Palace,30-021,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,9e5708be
248,Curtis Jones,eng ENG,MFFW,Liverpool,22-075,2001,9,3,332,3.7,0,0,0,0,0,0,2,0,0.2,0.2,0.2,0.4,10,26,22,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.11,0.05,0.11,Matches,4fb9c88f
249,Jorginho,it ITA,MF,Arsenal,31-116,1991,7,4,386,4.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.3,7,53,6,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06,Matches,45db685d
250,Jorginho,it ITA,MF,Chelsea,31-116,1991,18,15,1279,14.2,2,0,2,0,2,2,4,0,1.7,0.1,0.4,0.5,13,80,10,0.14,0.00,0.14,0.00,0.00,0.12,0.03,0.14,0.01,0.03,Matches,45db685d
251,Mateo Joseph,eng ENG,FWMF,Leeds United,19-178,2003,3,0,26,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,2,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.40,0.40,Matches,6ad43f9a
252,Diogo Jota,pt POR,FWMF,Liverpool,26-132,1996,13,7,669,7.4,0,3,3,0,0,0,1,0,2.1,2.1,2.0,4.1,21,22,52,0.00,0.40,0.40,0.00,0.40,0.28,0.26,0.55,0.28,0.55,Matches,178ae8f8
253,Hamed Junior Traorè,ci CIV,FWMF,Bournemouth,23-058,2000,7,5,427,4.7,0,0,0,0,0,0,0,0,0.9,0.9,1.1,2.1,19,26,21,0.00,0.00,0.00,0.00,0.00,0.19,0.24,0.43,0.19,0.43,Matches,570bb4b9
254,James Justin,eng ENG,DF,Leicester City,25-051,1998,14,14,1252,13.9,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,20,47,50,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.05,0.02,0.05,Matches,fb614c44
255,Mathias Jørgensen,dk DEN,DF,Brentford,32-357,1990,14,8,820,9.1,0,0,0,0,0,0,1,0,0.5,0.5,0.1,0.5,1,26,1,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Matches,0db5d2c8
256,Sasa Kalajdzic,at AUT,FW,Wolves,25-282,1997,1,1,45,0.5,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0,0,1,0.00,0.00,0.00,0.00,0.00,0.53,0.00,0.53,0.53,0.53,Matches,15f24fe7
257,Boubacar Kamara,fr FRA,MF,Aston Villa,23-143,1999,20,19,1569,17.4,0,1,1,0,0,0,4,0,0.2,0.2,0.8,1.0,14,80,8,0.00,0.06,0.06,0.00,0.06,0.01,0.05,0.06,0.01,0.06,Matches,cc77354e
258,Harry Kane,eng ENG,FW,Tottenham,29-261,1993,30,30,2685,29.8,23,2,25,19,4,5,5,0,17.1,13.2,4.7,17.9,48,141,166,0.77,0.07,0.84,0.64,0.70,0.57,0.16,0.73,0.44,0.60,Matches,21a66f6a
259,N'Golo Kanté,fr FRA,MF,Chelsea,32-017,1991,4,3,276,3.1,0,0,0,0,0,0,0,0,0.2,0.2,1.2,1.4,12,19,13,0.00,0.00,0.00,0.00,0.00,0.07,0.39,0.46,0.07,0.46,Matches,b9fbae28
260,Michael Keane,eng ENG,DF,Everton,30-094,1993,7,6,563,6.3,1,1,2,1,0,0,0,0,0.9,0.9,0.3,1.2,0,11,1,0.16,0.16,0.32,0.16,0.32,0.15,0.04,0.19,0.15,0.19,Matches,c5b7c315
261,Neeskens Kebano,cd COD,FW,Fulham,31-036,1992,12,9,713,7.9,0,3,3,0,0,0,0,0,0.5,0.5,1.4,1.8,37,21,63,0.00,0.38,0.38,0.00,0.38,0.06,0.17,0.23,0.06,0.23,Matches,18b999f4
262,Thilo Kehrer,de GER,DF,West Ham,26-206,1996,21,21,1817,20.2,0,1,1,0,0,0,4,0,0.4,0.4,0.4,0.8,15,49,28,0.00,0.05,0.05,0.00,0.05,0.02,0.02,0.04,0.02,0.04,Matches,51dbeea9
263,Naby Keïta,gn GUI,MF,Liverpool,28-064,1995,8,3,293,3.3,0,0,0,0,0,0,1,0,0.6,0.6,0.7,1.4,5,15,21,0.00,0.00,0.00,0.00,0.00,0.20,0.22,0.41,0.20,0.41,Matches,f25c8e3a
264,Lloyd Kelly,eng ENG,DF,Bournemouth,24-191,1998,15,15,1350,15.0,0,2,2,0,0,0,3,0,0.2,0.2,0.2,0.4,7,30,1,0.00,0.13,0.13,0.00,0.13,0.01,0.01,0.03,0.01,0.03,Matches,f31def1e
265,Max Kilman,eng ENG,DF,Wolves,25-327,1997,30,30,2700,30.0,0,0,0,0,0,0,3,0,1.0,1.0,0.1,1.1,27,114,4,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.04,0.03,0.04,Matches,d0f72bf1
266,Jakub Kiwior,pl POL,DF,Arsenal,23-059,2000,2,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,dc3e663e
267,Mateusz Klich,pl POL,MFFW,Leeds United,32-306,1990,14,0,280,3.1,0,0,0,0,0,0,2,0,0.2,0.2,0.2,0.4,5,16,21,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.12,0.05,0.12,Matches,282679b4
268,Robin Koch,de GER,DF,Leeds United,26-272,1996,29,29,2545,28.3,0,0,0,0,0,0,6,0,0.8,0.8,0.1,0.9,9,90,5,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,ea6bc03a
269,Ibrahima Konaté,fr FRA,DF,Liverpool,23-325,1999,11,10,922,10.2,0,0,0,0,0,0,1,0,1.1,1.1,0.0,1.1,6,33,3,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,Matches,5ed9b537
270,Ezri Konsa,eng ENG,DF,Aston Villa,25-174,1997,30,29,2602,28.9,0,0,0,0,0,0,5,0,0.8,0.8,1.2,2.1,7,43,10,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07,Matches,0313a347
271,Kalidou Koulibaly,sn SEN,DF,Chelsea,31-299,1991,22,20,1790,19.9,2,1,3,2,0,0,7,1,0.9,0.9,0.4,1.4,10,81,4,0.10,0.05,0.15,0.10,0.15,0.05,0.02,0.07,0.05,0.07,Matches,da974c7b
272,Cheikhou Kouyaté,sn SEN,MF,Nott'ham Forest,33-115,1989,15,10,767,8.5,1,0,1,1,0,0,3,0,0.4,0.4,0.7,1.0,6,17,12,0.12,0.00,0.12,0.12,0.12,0.04,0.08,0.12,0.04,0.12,Matches,8d3c902d
273,Mateo Kovačić,hr CRO,MF,Chelsea,28-344,1994,22,14,1428,15.9,1,1,2,1,0,0,7,0,1.7,1.7,1.8,3.5,29,132,25,0.06,0.06,0.13,0.06,0.13,0.11,0.11,0.22,0.11,0.22,Matches,79c0821a
274,Emil Krafth,se SWE,DF,Newcastle Utd,28-256,1994,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,77cf6852
275,Dejan Kulusevski,se SWE,MFFW,Tottenham,22-355,2000,22,18,1630,18.1,2,6,8,2,0,0,1,0,1.9,1.9,3.9,5.8,73,51,163,0.11,0.33,0.44,0.11,0.44,0.10,0.22,0.32,0.10,0.32,Matches,df3cda47
276,Layvin Kurzawa,fr FRA,DF,Fulham,30-223,1992,3,2,135,1.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,41e7ef1c
277,Adam Lallana,eng ENG,MFFW,Brighton,34-340,1988,16,12,722,8.0,2,1,3,2,0,0,0,0,0.9,0.9,1.0,1.9,10,33,43,0.25,0.12,0.37,0.25,0.37,0.11,0.12,0.23,0.11,0.23,Matches,99813635
278,Tariq Lamptey,gh GHA,DF,Brighton,22-197,2000,20,3,453,5.0,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,28,26,58,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.08,0.04,0.08,Matches,f4e433d4
279,Manuel Lanzini,ar ARG,MFFW,West Ham,30-059,1993,7,1,150,1.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,14,4,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,26f6dca8
280,Aymeric Laporte,es ESP,DF,Manchester City,28-323,1994,7,6,556,6.2,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6,17,46,8,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.10,0.06,0.10,Matches,119b9a8e
281,Juan Larios,es ESP,DF,Southampton,19-093,2004,5,2,152,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,cf7fb13a
282,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,29-155,1993,6,2,201,2.2,0,0,0,0,0,0,4,0,0.1,0.1,0.0,0.1,0,3,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,450ab6fc
283,Roméo Lavia,be BEL,MF,Southampton,19-099,2004,21,18,1541,17.1,1,0,1,1,0,0,6,0,0.3,0.3,0.5,0.7,16,75,11,0.06,0.00,0.06,0.06,0.06,0.02,0.03,0.04,0.02,0.04,Matches,ecad9aa5
284,Dexter Lembikisa,jm JAM,DF,Wolves,19-162,2003,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0bdda685
285,Mario Lemina,ga GAB,MF,Wolves,29-226,1993,11,10,715,7.9,0,0,0,0,0,0,4,1,0.2,0.2,0.2,0.4,3,30,5,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches,2b471f99
286,Clément Lenglet,fr FRA,DF,Tottenham,27-302,1995,20,18,1538,17.1,0,2,2,0,0,0,3,0,0.8,0.8,0.6,1.5,23,66,7,0.00,0.12,0.12,0.00,0.12,0.05,0.04,0.09,0.05,0.09,Matches,4f28a6ff
287,Bernd Leno,de GER,GK,Fulham,31-042,1992,27,27,2430,27.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2628fd2b
288,Jefferson Lerma,co COL,MF,Bournemouth,28-172,1994,29,29,2548,28.3,3,0,3,3,0,0,5,0,2.1,2.1,1.7,3.8,16,106,22,0.11,0.00,0.11,0.11,0.11,0.07,0.06,0.13,0.07,0.13,Matches,9b5ce51a
289,Jamal Lewis,nir NIR,DF,Newcastle Utd,25-080,1998,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,efb9215a
290,Rico Lewis,eng ENG,DFMF,Manchester City,18-145,2004,10,6,543,6.0,0,0,0,0,0,0,1,0,0.1,0.1,0.8,0.9,18,31,14,0.00,0.00,0.00,0.00,0.00,0.02,0.14,0.16,0.02,0.16,Matches,b57e066e
291,Keane Lewis-Potter,eng ENG,FWMF,Brentford,22-052,2001,10,3,321,3.6,0,1,1,0,0,0,0,0,0.5,0.5,1.2,1.7,8,6,39,0.00,0.28,0.28,0.00,0.28,0.14,0.35,0.49,0.14,0.49,Matches,41f08ac8
292,Victor Lindelöf,se SWE,DF,Manchester Utd,28-272,1994,11,5,555,6.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,17,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,f5deef4c
293,Jesse Lingard,eng ENG,FWMF,Nott'ham Forest,30-121,1992,16,12,920,10.2,0,0,0,0,0,0,1,0,1.0,1.0,0.7,1.7,11,33,38,0.00,0.00,0.00,0.00,0.00,0.10,0.07,0.17,0.10,0.17,Matches,810e3c74
294,Diego Llorente,es ESP,DF,Leeds United,29-242,1993,8,7,649,7.2,0,0,0,0,0,0,1,0,0.7,0.7,0.0,0.7,2,27,1,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,Matches,bba30585
295,Hugo Lloris,fr FRA,GK,Tottenham,36-110,1986,23,23,2070,23.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,8f62b6ee
296,Renan Lodi,br BRA,DF,Nott'ham Forest,25-007,1998,20,18,1553,17.3,0,0,0,0,0,0,5,0,0.8,0.8,0.6,1.4,22,24,53,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.08,0.05,0.08,Matches,ed9f7cfe
297,Ruben Loftus-Cheek,eng ENG,MFDF,Chelsea,27-082,1996,20,17,1314,14.6,0,0,0,0,0,0,1,0,0.8,0.8,1.3,2.2,44,73,78,0.00,0.00,0.00,0.00,0.00,0.06,0.09,0.15,0.06,0.15,Matches,e97fd090
298,Sean Longstaff,eng ENG,MF,Newcastle Utd,25-167,1997,29,25,2242,24.9,1,3,4,1,0,0,2,0,3.1,3.1,2.9,6.0,21,109,97,0.04,0.12,0.16,0.04,0.16,0.12,0.12,0.24,0.12,0.24,Matches,a2b105e0
299,Jamal Lowe,jm JAM,MFFW,Bournemouth,28-268,1994,2,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,b2856bc0
300,Douglas Luiz,br BRA,MF,Aston Villa,24-341,1998,29,25,2216,24.6,3,5,8,3,0,0,4,1,1.9,1.9,3.0,4.9,35,109,26,0.12,0.20,0.32,0.12,0.32,0.08,0.12,0.20,0.08,0.20,Matches,6f7d826d
301,Saša Lukić,rs SRB,MF,Fulham,26-245,1996,5,2,219,2.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,4,9,5,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,c6e8cf1f
302,Lyanco,br BRA,DF,Southampton,26-073,1997,14,7,698,7.8,0,0,0,0,0,0,4,0,0.3,0.3,0.1,0.3,5,20,2,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches,b5bf1770
303,Alexis Mac Allister,ar ARG,MF,Brighton,24-112,1998,25,24,2156,24.0,8,1,9,3,5,5,7,0,8.9,5.0,2.7,7.7,47,125,55,0.33,0.04,0.38,0.13,0.17,0.37,0.11,0.48,0.21,0.32,Matches,83d074ff
304,James Maddison,eng ENG,MFFW,Leicester City,26-143,1996,23,22,1895,21.1,9,6,15,9,0,0,8,0,4.5,4.5,6.5,11.0,53,118,111,0.43,0.28,0.71,0.43,0.71,0.21,0.31,0.52,0.21,0.52,Matches,ee38d9c5
305,Noni Madueke,eng ENG,FWDF,Chelsea,21-036,2002,5,2,216,2.4,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,10,10,31,0.00,0.00,0.00,0.00,0.00,0.06,0.11,0.17,0.06,0.17,Matches,bf34eebd
306,Harry Maguire,eng ENG,DF,Manchester Utd,30-041,1993,12,6,572,6.4,0,0,0,0,0,0,3,0,0.3,0.3,0.0,0.4,7,19,4,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.06,0.05,0.06,Matches,d8931174
307,Riyad Mahrez,dz ALG,FWMF,Manchester City,32-053,1991,21,14,1206,13.4,5,5,10,4,1,1,2,0,4.9,4.1,4.6,8.7,55,59,176,0.37,0.37,0.75,0.30,0.67,0.37,0.34,0.71,0.31,0.65,Matches,892d5bb1
308,Kobbie Mainoo,eng ENG,MF,Manchester Utd,17-361,2005,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,c6220452
309,Ainsley Maitland-Niles,eng ENG,DFMF,Southampton,25-229,1997,17,10,1070,11.9,0,0,0,0,0,0,3,0,0.0,0.0,0.6,0.6,11,43,13,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches,e3a5814e
310,Tyrell Malacia,nl NED,DF,Manchester Utd,23-241,1999,17,11,1064,11.8,0,0,0,0,0,0,3,0,0.2,0.2,0.3,0.6,18,30,26,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches,6b6c793c
311,Orel Mangala,be BEL,MF,Nott'ham Forest,25-028,1998,19,13,923,10.3,1,0,1,1,0,0,2,0,0.5,0.5,0.1,0.6,11,31,7,0.10,0.00,0.10,0.10,0.10,0.05,0.01,0.06,0.05,0.06,Matches,a572e291
312,Javier Manquillo,es ESP,DF,Newcastle Utd,28-345,1994,2,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,758dd7f0
313,Sekou Mara,fr FRA,FWMF,Southampton,20-259,2002,21,4,526,5.8,1,2,3,1,0,0,1,0,1.0,1.0,0.8,1.8,7,7,26,0.17,0.34,0.51,0.17,0.51,0.18,0.13,0.31,0.18,0.31,Matches,3544641e
314,Solly March,eng ENG,FWDF,Brighton,28-269,1994,28,28,2420,26.9,7,6,13,7,0,0,2,0,7.5,7.5,7.4,14.9,94,122,312,0.26,0.22,0.48,0.26,0.48,0.28,0.27,0.55,0.28,0.55,Matches,bb5fbd2b
315,Emiliano Marcondes,dk DEN,MF,Bournemouth,28-037,1995,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,4d960fc3
316,Marquinhos,br BRA,MF,Arsenal,20-008,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,59878425
