,,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
52,Armel Bella Kotchap,de GER,DF,Southampton,21-125,2001,20,20,1572,17.5,0,1,1,0,0,0,3,0,0.9,0.9,0.5,1.5,7,33,2,0.00,0.06,0.06,0.00,0.06,0.05,0.03,0.08,0.05,0.08,Matches,a39d11bc
53,Saïd Benrahma,dz ALG,FWMF,West Ham,27-248,1995,27,17,1611,17.9,4,3,7,1,3,3,0,0,5.3,3.0,3.5,6.5,84,63,191,0.22,0.17,0.39,0.06,0.22,0.30,0.20,0.49,0.16,0.36,Matches,5a04fd92
54,Rodrigo Bentancur,uy URU,MF,Tottenham,25-294,1997,18,17,1500,16.7,5,2,7,5,0,0,8,0,2.2,2.2,0.8,3.1,26,76,19,0.30,0.12,0.42,0.30,0.42,0.13,0.05,0.18,0.13,0.18,Matches,3b8674e6
55,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,20-120,2002,7,7,589,6.5,0,0,0,0,0,0,1,0,0.1,0.1,0.6,0.7,15,19,17,0.00,0.00,0.00,0.00,0.00,0.02,0.10,0.11,0.02,0.11,Matches,505486d6
56,Owen Bevan,wls WAL,DF,Bournemouth,19-171,2003,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,87966294
57,Giulian Biancone,fr FRA,DF,Nott'ham Forest,23-015,2000,2,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,de40e38c
58,Philip Billing,dk DEN,MFFW,Bournemouth,26-308,1996,29,27,2215,24.6,7,1,8,7,0,0,5,0,3.8,3.8,3.0,6.8,31,63,76,0.28,0.04,0.33,0.28,0.33,0.15,0.12,0.27,0.15,0.27,Matches,d328a254
59,Yves Bissouma,ml MLI,MF,Tottenham,26-228,1996,20,8,814,9.0,0,0,0,0,0,0,5,0,0.2,0.2,0.5,0.7,10,45,7,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.02,0.08,Matches,6c203af0
60,Willy Boly,ci CIV,DF,Nott'ham Forest,32-071,1991,8,8,592,6.6,0,1,1,0,0,0,2,0,0.0,0.0,0.2,0.2,1,10,0,0.00,0.15,0.15,0.00,0.15,0.00,0.03,0.03,0.00,0.03,Matches,a4ac4b8f
61,Sven Botman,nl NED,DF,Newcastle Utd,23-093,2000,27,26,2317,25.7,0,0,0,0,0,0,2,0,1.3,1.3,1.0,2.2,7,66,3,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09,Matches,ccce7025
62,Jarrod Bowen,eng ENG,FWMF,West Ham,26-116,1996,29,29,2600,28.9,4,3,7,3,1,2,2,0,7.5,6.5,5.4,11.9,81,56,180,0.14,0.10,0.24,0.10,0.21,0.26,0.19,0.45,0.22,0.41,Matches,79c84d1c
63,James Bree,eng ENG,DF,Southampton,25-186,1997,3,2,201,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,3,3,11,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10,Matches,c07b7c5c
64,Armando Broja,al ALB,FW,Chelsea,21-217,2001,12,2,294,3.3,1,0,1,1,0,0,0,0,0.8,0.8,0.1,0.9,8,4,17,0.31,0.00,0.31,0.31,0.31,0.26,0.02,0.27,0.26,0.27,Matches,97220da2
65,David Brooks,wls WAL,DFFW,Bournemouth,25-281,1997,2,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11,Matches,dc4cae05
66,Lewis Brunt,eng ENG,DF,Leicester City,22-160,2000,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,a2081c6b
67,Bryan,es ESP,MFFW,Tottenham,22-063,2001,4,2,148,1.6,0,1,1,0,0,0,1,0,0.1,0.1,0.2,0.3,4,5,15,0.00,0.61,0.61,0.00,0.61,0.06,0.11,0.17,0.06,0.17,Matches,7b5ab7f2
68,Emi Buendía,ar ARG,MFFW,Aston Villa,26-111,1996,30,21,1872,20.8,5,1,6,5,0,0,0,0,5.0,5.0,4.2,9.1,45,114,104,0.24,0.05,0.29,0.24,0.29,0.24,0.20,0.44,0.24,0.44,Matches,66b76d44
69,Hugo Bueno,es ESP,DF,Wolves,20-209,2002,16,13,1066,11.8,0,1,1,0,0,0,1,0,0.2,0.2,0.6,0.8,43,32,56,0.00,0.08,0.08,0.00,0.08,0.01,0.05,0.07,0.01,0.07,Matches,bfc3b3a0
70,Facundo Buonanotte,ar ARG,FWMF,Brighton,18-113,2004,4,0,58,0.6,0,1,1,0,0,0,0,0,0.1,0.1,0.1,0.3,2,1,3,0.00,1.55,1.55,0.00,1.55,0.22,0.18,0.40,0.22,0.40,Matches,468a7a91
71,Dan Burn,eng ENG,DF,Newcastle Utd,30-341,1992,29,28,2474,27.5,0,0,0,0,0,0,4,0,1.2,1.2,1.2,2.4,23,85,34,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.09,0.04,0.09,Matches,b2d31e83
72,Cafú,pt POR,MF,Nott'ham Forest,30-048,1993,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,85322440
73,Moisés Caicedo,ec ECU,MF,Brighton,21-164,2001,27,26,2348,26.1,1,1,2,1,0,0,8,0,1.3,1.3,2.3,3.6,23,161,38,0.04,0.04,0.08,0.04,0.08,0.05,0.09,0.14,0.05,0.14,Matches,16264a81
