,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0,Player Link,Player ID
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
464,465,Tony Springett,eng ENG,"MF,FW",Norwich City,18,2002,3,1,141,1.6,0,0,0,0,0,0,1,0,0.2,0.2,0.5,0.7,8,2,11,0.00,0.00,0.00,0.00,0.00,0.11,0.34,0.45,0.11,0.45,Matches,https://fbref.com/en/players/35be8087/Tony-Springett,35be8087
465,466,Jason Steele,eng ENG,GK,Brighton,30,1990,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,https://fbref.com/en/players/28300a16/Jason-Steele,28300a16
466,467,Jed Steer,eng ENG,GK,Aston Villa,28,1992,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,https://fbref.com/en/players/a8a3d139/Jed-Steer,a8a3d139
467,468,Zack Steffen,us USA,GK,Manchester City,26,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,https://fbref.com/en/players/42130443/Zack-Steffen,42130443
468,469,Dale Stephens,eng ENG,MF,Burnley,32,1989,3,1,124,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,0,5,1,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches,https://fbref.com/en/players/653ee42d/Dale-Stephens,653ee42d
469,470,Jack Stephens,eng ENG,DF,Southampton,27,1994,11,9,811,9.0,0,0,0,0,0,0,3,0,0.0,0.0,0.3,0.3,7,28,3,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches,https://fbref.com/en/players/6adbc307/Jack-Stephens,6adbc307
470,471,Raheem Sterling,eng ENG,FW,Manchester City,26,1994,30,23,2128,23.6,13,5,18,11,2,3,1,0,14.0,11.5,5.5,17.0,108,65,317,0.55,0.21,0.76,0.47,0.68,0.59,0.23,0.82,0.49,0.72,Matches,https://fbref.com/en/players/b400bde0/Raheem-Sterling,b400bde0
471,472,Finley Stevens,wls WAL,DF,Brentford,18,2003,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.33,0.00,0.33,Matches,https://fbref.com/en/players/7e003182/Finley-Stevens,7e003182
472,473,John Stones,eng ENG,DF,Manchester City,27,1994,14,12,1119,12.4,1,0,1,1,0,0,0,0,0.9,0.9,0.2,1.1,28,63,7,0.08,0.00,0.08,0.08,0.08,0.07,0.01,0.09,0.07,0.09,Matches,https://fbref.com/en/players/5eecec3d/John-Stones,5eecec3d
473,474,Pascal Struijk,nl NED,"DF,MF",Leeds United,21,1999,29,22,2055,22.8,1,0,1,1,0,0,6,1,1.4,1.4,0.4,1.9,8,86,10,0.04,0.00,0.04,0.04,0.04,0.06,0.02,0.08,0.06,0.08,Matches,https://fbref.com/en/players/f4d296e4/Pascal-Struijk,f4d296e4
474,475,Crysencio Summerville,nl NED,"MF,FW",Leeds United,19,2001,6,0,130,1.4,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.3,5,7,16,0.00,0.00,0.00,0.00,0.00,0.17,0.03,0.19,0.17,0.19,Matches,https://fbref.com/en/players/df04eb4b/Crysencio-Summerville,df04eb4b
475,476,Jakob Sørensen,dk DEN,"MF,DF",Norwich City,23,1998,10,6,604,6.7,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,4,20,4,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches,https://fbref.com/en/players/953c30b0/Jakob-Sorensen,953c30b0
476,477,Japhet Tanganga,eng ENG,DF,Tottenham,22,1999,11,10,735,8.2,0,0,0,0,0,0,4,1,0.4,0.4,0.2,0.7,13,20,21,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08,Matches,https://fbref.com/en/players/e9971f2d/Japhet-Tanganga,e9971f2d
477,478,Matt Targett,eng ENG,DF,Aston Villa,25,1995,17,17,1431,15.9,1,1,2,1,0,0,2,0,0.5,0.5,1.7,2.2,19,83,79,0.06,0.06,0.13,0.06,0.13,0.03,0.11,0.14,0.03,0.14,Matches,https://fbref.com/en/players/e514ab62/Matt-Targett,e514ab62
478,479,Matt Targett,eng ENG,DF,Newcastle Utd,25,1995,16,16,1440,16.0,0,0,0,0,0,0,1,0,0.3,0.3,1.9,2.2,11,53,40,0.00,0.00,0.00,0.00,0.00,0.02,0.12,0.14,0.02,0.14,Matches,https://fbref.com/en/players/e514ab62/Matt-Targett,e514ab62
479,480,James Tarkowski,eng ENG,DF,Burnley,28,1992,35,35,3106,34.5,1,2,3,1,0,0,11,0,2.5,2.5,0.5,3.0,3,97,11,0.03,0.06,0.09,0.03,0.09,0.07,0.01,0.09,0.07,0.09,Matches,https://fbref.com/en/players/15ea812b/James-Tarkowski,15ea812b
480,481,Nuno Tavares,pt POR,DF,Arsenal,21,2000,22,13,1176,13.1,1,1,2,1,0,0,2,0,1.9,1.9,1.1,2.9,47,42,91,0.08,0.08,0.15,0.08,0.15,0.14,0.08,0.22,0.14,0.22,Matches,https://fbref.com/en/players/a65c844b/Nuno-Tavares,a65c844b
481,482,Charlie Taylor,eng ENG,DF,Burnley,27,1993,31,30,2731,30.3,0,3,3,0,0,0,3,0,0.2,0.2,3.8,4.0,58,91,77,0.00,0.10,0.10,0.00,0.10,0.01,0.13,0.13,0.01,0.13,Matches,https://fbref.com/en/players/cc2d7ad5/Charlie-Taylor,cc2d7ad5
482,483,Nathan Tella,eng ENG,"MF,FW",Southampton,22,1999,14,10,804,8.9,0,1,1,0,0,0,2,0,0.6,0.6,0.6,1.2,22,17,44,0.00,0.11,0.11,0.00,0.11,0.07,0.07,0.13,0.07,0.13,Matches,https://fbref.com/en/players/f1e94cd6/Nathan-Tella,f1e94cd6
483,484,Alex Telles,br BRA,DF,Manchester Utd,28,1992,21,18,1660,18.4,0,4,4,0,0,0,1,0,0.4,0.4,1.9,2.3,36,66,102,0.00,0.22,0.22,0.00,0.22,0.02,0.10,0.12,0.02,0.12,Matches,https://fbref.com/en/players/e73c9bb2/Alex-Telles,e73c9bb2
484,485,Luke Thomas,eng ENG,DF,Leicester City,20,2001,22,21,1912,21.2,0,1,1,0,0,0,2,0,0.1,0.1,1.3,1.5,28,95,59,0.00,0.05,0.05,0.00,0.05,0.01,0.06,0.07,0.01,0.07,Matches,https://fbref.com/en/players/fc027d02/Luke-Thomas,fc027d02
485,486,Dominic Thompson,eng ENG,DF,Brentford,21,2000,2,2,146,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,3,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,https://fbref.com/en/players/235a62f8/Dominic-Thompson,235a62f8
486,487,Youri Tielemans,be BEL,MF,Leicester City,24,1997,32,29,2631,29.2,6,4,10,4,2,2,3,0,4.4,2.8,4.2,7.0,31,202,69,0.21,0.14,0.34,0.14,0.27,0.15,0.15,0.29,0.10,0.24,Matches,https://fbref.com/en/players/56f7a928/Youri-Tielemans,56f7a928
